elapsed_time_s,elapsed_time_min,phase,is_event_point,semi_major_axis_m,eccentricity,inclination_deg,raan_deg,argument_of_perigee_deg,true_anomaly_deg,position_x_m,position_y_m,position_z_m,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,subsatellite_longitude_deg,subsatellite_latitude_deg,subsatellite_altitude_m,orbit_height_m,mass_kg
151620.0,2527.0,coast,0,32132830.797155466,0.6271318289980355,9.704851447757346,348.2671456356539,217.70351428243274,231.31806166504026,6961590.61071819,30827083.444143943,5404005.599228879,-3162.8164963024255,-1524.0597214377838,-365.1918144401451,163.7949216336736,9.71611647897569,25684533.581851915,25683926.27807931,4509.2060765450315
151680.0,2528.0,coast,0,32132846.628428895,0.6271320677513769,9.704851296794882,348.2670838410007,217.7035578851654,231.61410412653944,6771670.821793833,30734966.628710844,5381976.100118458,-3167.8304497650447,-1546.5363322361977,-369.1303337936866,163.84455833814258,9.716904077197846,25551441.16995161,25550833.77193557,4509.2060765450315
151740.0,2529.0,coast,0,32132862.799054004,0.6271323114602843,9.704851198663338,348.26702125939437,217.7036020686141,231.91263015312086,6581452.502974328,30641494.787809685,5359709.293344476,-3172.7670891941516,-1569.2277682949941,-373.1021448427148,163.89671554529866,9.717433274291091,25417800.507536724,25417193.047311176,4509.2060765450315
151800.0,2530.0,coast,0,32132879.31858549,0.6271325602632843,9.704851155192413,348.2669578775846,217.7036468428755,232.21368154119025,6390940.366551542,30546654.935706366,5337203.167842652,-3177.62395283958,-1592.1372468104487,-377.1077008662293,163.95143519584053,9.717697426351851,25283610.61777937,25283003.12820625,4509.2060765450315
151860.0,2531.0,coast,0,32132896.196908567,0.627132814303696,9.704851168275429,348.2668936820811,217.70369221825555,232.51730103550798,6200139.274967695,30450433.891839094,5314455.68513615,-3182.3984969449743,-1615.2680450341031,-381.14746235205035,164.00876016834582,9.717689689350053,25148870.554057498,25148263.068849068,4509.2060765450315
151920.0,2532.0,coast,0,32132913.44425248,0.6271330737298245,9.704851239871402,348.2668286591503,217.70373820527382,232.82353235613255,6009054.245825988,30352818.277180478,5291464.778900388,-3187.0880927187973,-1638.6235014277356,-385.2218970850074,164.06873430544192,9.717403012231726,25013579.401765037,25012971.95550683,4509.2060765450315
151980.0,2533.0,coast,0,32132931.07120446,0.6271333386951649,9.704851372007987,348.26676279481313,217.70378481466824,233.1324202262606,5817690.457086702,30253794.51052997,5268228.3545226315,-3191.690023180576,-1662.2070168307823,-389.331480232878,164.1314024408312,9.71683012975434,24877736.280207217,24877128.908381626,4509.2060765450315
152040.0,2534.0,coast,0,32132949.088724356,0.6271336093586153,9.704851566783818,348.26669607484195,217.70383205740018,233.44401040099677,5626053.2524563745,30153348.804735865,5244744.288656498,-3196.201479876769,-1686.0220556392514,-393.4766944297197,164.19681042719822,9.715963555043642,24741340.344585136,24740733.083595682,4509.2060765450315
152100.0,2535.0,coast,0,32132967.508159913,0.627133885884699,9.704851826370847,348.2666284847583,217.7038799446593,233.7583496970879,5434148.146978109,30051467.162846297,5221010.428771558,-3200.6195594603632,-1710.0721469950279,-397.65802985620746,164.26500516503307,9.7147955718602,24604390.78807407,24603783.67527033,4509.2060765450315
152160.0,2536.0,coast,0,32132986.3412628,0.6271341684437983,9.704852153017477,348.2665600098305,217.7039284878687,234.07548602365824,5241980.832831343,29948135.374188572,5197024.592698211,-3204.94126012804,-1734.3608859843423,-401.8759843165542,164.33603463240263,9.713318226563302,24466886.84399995,24466279.9177032,4509.2060765450315
152220.0,2537.0,coast,0,32133005.600205433,0.6271344572123972,9.704852549051312,348.2664906350717,217.70397769868998,234.3954684139821,5049557.185349806,29843339.01037636,5172784.56816806,-3209.1634779084425,-1758.8919348440036,-406.1310633115583,164.40994791570438,9.711523319759435,24328827.788118802,24328221.087648388,4509.2060765450315
152280.0,2538.0,coast,0,32133025.297598384,0.6271347523733384,9.704853016881954,348.2664203452378,217.70402758902887,234.7183470583327,4856883.26926684,29737063.421244297,5148288.112350033,-3213.2830027947634,-1783.6690241738431,-410.4237801072799,164.4867952414404,9.709402397621874,24190212.941004258,24189606.50670465,4509.2060765450315
152340.0,2539.0,coast,0,32133045.44650883,0.6271350541160894,9.704853559004134,348.2663491248261,217.7040781710404,235.04417333794927,4663965.345197594,29629293.730709724,5123532.951382533,-3217.2965147145587,-1808.6959541536228,-414.7546557988073,164.5666280090452,9.70694674286742,24051041.670548372,24050435.543817054,4509.2060765450315
